#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" name="distribution" x="@birthRate.t:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" id="treeLikelihood.Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout">
#            <siteModel id="SiteModel.s:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:Gurkov2019_selection_18perspecies_trimmed_5prime_Lefe_noout" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">0.01773</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate
64000	-1589.6865483038766	-1596.0286675524414	6.34211924856476	-1596.0286675524414	2.941322832101628	17.067483021947275	6.34211924856476	2.623394045028803
65000	-1600.7517707837524	-1613.578882874161	12.827112090408752	-1613.578882874161	2.0778989831667714	15.282016189047843	12.827112090408752	3.2759657808723244
66000	-1590.0785627478886	-1607.7814503146774	17.7028875667889	-1607.7814503146774	2.372941032275752	13.922263340217624	17.7028875667889	4.098128274274751
67000	-1595.9113322760377	-1604.960884307591	9.04955203155318	-1604.960884307591	2.507126683019802	16.43694765131929	9.04955203155318	3.207445900142878
68000	-1588.0610422912182	-1597.661585820187	9.600543528968672	-1597.661585820187	2.83707206614646	16.1643035692099	9.600543528968672	2.9232272933950125
69000	-1589.06517883016	-1595.6887145349851	6.623535704825134	-1595.6887145349851	3.136574110437087	17.1451485287412	6.623535704825134	3.361191192984934
70000	-1604.4465252716716	-1608.537579977702	4.091054706030384	-1608.537579977702	3.147461425126218	17.16251030846886	4.091054706030384	4.174669997187239
71000	-1592.3355659169745	-1597.4641226264705	5.12855670949596	-1597.4641226264705	3.149646214041493	17.693456261406585	5.12855670949596	2.918951827359285
72000	-1594.6928759234006	-1595.099828181431	0.4069522580301843	-1595.099828181431	3.5596462055432614	18.806569649965372	0.4069522580301843	2.19870835828117
73000	-1587.195212951828	-1597.3745116146135	10.179298662785644	-1597.3745116146135	2.7265671297652085	15.975891636168496	10.179298662785644	2.9364659731699154
74000	-1601.581845190231	-1607.9739632287751	6.392118038544137	-1607.9739632287751	2.80463404003223	17.247705447764965	6.392118038544137	3.271680541746952
75000	-1585.4396599433626	-1599.5929410289932	14.153281085630514	-1599.5929410289932	2.770731972502417	14.716242284064046	14.153281085630514	4.245263009111717
76000	-1584.6101253924303	-1603.718042769905	19.107917377474752	-1603.718042769905	2.2457222429473815	13.592528905278403	19.107917377474752	3.8135459058050634
77000	-1607.4251046817183	-1605.075620000564	-2.349484681154369	-1605.075620000564	3.44777905761641	20.288807986551163	-2.349484681154369	2.3708805339220174
78000	-1594.698414281815	-1597.5750517854078	2.876637503592722	-1597.5750517854078	3.00409016970111	17.771885602502678	2.876637503592722	2.2303100752294327
79000	-1591.7844550122943	-1599.003737310119	7.219282297824737	-1599.003737310119	3.031987236111976	16.89092967896014	7.219282297824737	3.5324035054431686
80000	-1591.069583411279	-1599.7435980653734	8.674014654094535	-1599.7435980653734	2.6425911915775773	16.455489376552624	8.674014654094535	3.585750086649851
81000	-1603.0150876924165	-1601.4197512167477	-1.5953364756688018	-1601.4197512167477	3.6044584474038883	20.093418099658166	-1.5953364756688018	2.6356436462731
82000	-1585.4501068059744	-1595.8948072002736	10.444700394299218	-1595.8948072002736	2.8505466151772816	15.962936032260268	10.444700394299218	3.5819072737364763
83000	-1585.515237609955	-1594.1591268445484	8.643889234593487	-1594.1591268445484	2.7512302346247717	16.53703032560399	8.643889234593487	3.389516240067277
84000	-1582.0263645942466	-1599.4298230396155	17.40345844536898	-1599.4298230396155	2.296868897645689	14.016205138369324	17.40345844536898	3.5644539219720484
85000	-1593.6524772171895	-1598.9270408425205	5.274563625330968	-1598.9270408425205	2.754179712957975	17.633324716006832	5.274563625330968	2.8744776065637776
86000	-1584.5115176790098	-1598.329334028459	13.817816349449343	-1598.329334028459	2.5381018450041832	14.83665721162208	13.817816349449343	3.037238874733267
87000	-1588.2931604474925	-1598.6509815745385	10.35782112704592	-1598.6509815745385	2.653474147018304	16.035863234483692	10.35782112704592	3.278047975634446
88000	-1595.8994396927	-1612.2779625309458	16.378522838245825	-1612.2779625309458	2.3098948587004693	14.30137869487434	16.378522838245825	3.8660461145292846
89000	-1596.8750225826698	-1604.8074164534055	7.9323938707357655	-1604.8074164534055	3.0478628484445287	16.328347853193428	7.9323938707357655	4.0713025765920365
90000	-1593.7722004537377	-1603.1918784225688	9.419677968831119	-1603.1918784225688	2.6772607337111376	16.098360538220334	9.419677968831119	2.774380213580276
91000	-1601.5301083203285	-1605.5657793444502	4.035671024121601	-1605.5657793444502	3.004959563521789	18.032472350208725	4.035671024121601	2.758357922137827
92000	-1604.9621976061185	-1608.8715254844067	3.9093278782882415	-1608.8715254844067	3.3018643371220886	17.892145823665775	3.9093278782882415	3.4486557385374588
93000	-1605.7154209214473	-1614.1848105690187	8.469389647571393	-1614.1848105690187	2.712808734698487	16.605592861345805	8.469389647571393	3.069467928074608
94000	-1596.9984609509072	-1602.629281810537	5.630820859629729	-1602.629281810537	2.8534000964081003	17.482810705441423	5.630820859629729	2.8090888788131174
95000	-1608.7359915998816	-1609.9491943795967	1.21320277971523	-1609.9491943795967	2.9415312833840224	18.39080672689508	1.21320277971523	2.1801592798951823
96000	-1593.4006178076088	-1604.9262797752426	11.525661967633834	-1604.9262797752426	2.676949696640437	15.6427630040552	11.525661967633834	3.1401047016576804
97000	-1600.717565312918	-1601.1924933265639	0.4749280136458367	-1601.1924933265639	3.297830617710846	19.17657818523062	0.4749280136458367	3.119678845232209
98000	-1606.3817159326381	-1610.5023645391805	4.1206486065424315	-1610.5023645391805	2.7583815037277226	17.684889774668697	4.1206486065424315	2.4389813239158484
99000	-1586.5039491690668	-1601.2821211814467	14.77817201237993	-1601.2821211814467	2.6417205111092024	14.71908152760937	14.77817201237993	3.361344962315117
100000	-1591.446031495395	-1599.6615854445452	8.215553949150312	-1599.6615854445452	2.877486869343361	16.510235985628558	8.215553949150312	3.7172194341763984
101000	-1602.3266880002077	-1609.3495241156675	7.022836115459679	-1609.3495241156675	3.221866453997588	16.88077885175	7.022836115459679	3.6426933517867033
102000	-1598.1792192551725	-1606.7424475351243	8.563228279951758	-1606.7424475351243	2.7670596325103274	16.58036634042031	8.563228279951758	3.096300961428011
103000	-1599.9345706144966	-1609.2315130413547	9.296942426858083	-1609.2315130413547	2.7550693583415615	16.248901164809855	9.296942426858083	2.8946603294317765
104000	-1601.7052317008886	-1607.0584501805042	5.353218479615531	-1607.0584501805042	2.926812513640246	17.605646977412157	5.353218479615531	2.8733959876800217
105000	-1594.5734651809646	-1600.8019934137	6.228528232735458	-1600.8019934137	2.834685966101067	17.27148175729845	6.228528232735458	2.811650275711815
